1,Dermatology,05-20-2022,10:00:00,Available
2,Dermatology,05-21-2022,11:00:00,Available
3,Dermatology,05-22-2022,12:00:00,Available
4,Dermatology,05-23-2022,13:00:00,Available
5,Dermatology,05-24-2022,14:00:00,Available
6,Dermatology,05-25-2022,15:00:00,Available
7,Dermatology,05-26-2022,16:00:00,Available
8,Dermatology,05-27-2022,17:00:00,Available
9,Dermatology,05-28-2022,18:00:00,Available
10,Dermatology,05-29-2022,19:00:00,Available
11,Surgery,05-20-2022,10:00:00,Available
12,Surgery,05-21-2022,11:00:00,Available
13,Surgery,05-22-2022,12:00:00,Available
14,Surgery,05-23-2022,13:00:00,Available
15,Surgery,05-24-2022,14:00:00,Available
16,Surgery,05-25-2022,15:00:00,Available
17,Surgery,05-26-2022,16:00:00,Available
18,Surgery,05-27-2022,17:00:00,Available
19,Surgery,05-28-2022,18:00:00,Available
20,Surgery,05-29-2022,19:00:00,Available
21,Neurology,05-20-2022,10:00:00,Available
22,Neurology,05-21-2022,11:00:00,Available
23,Neurology,05-22-2022,12:00:00,Available
24,Neurology,05-23-2022,13:00:00,Available
25,Neurology,05-24-2022,14:00:00,Available
26,Neurology,05-25-2022,15:00:00,Available
27,Neurology,05-26-2022,16:00:00,Available
28,Neurology,05-27-2022,17:00:00,Available
29,Neurology,05-28-2022,18:00:00,Available
30,Neurology,05-29-2022,19:00:00,Available
31,Cardiology,05-20-2022,10:00:00,Available
32,Cardiology,05-21-2022,11:00:00,Available
33,Cardiology,05-22-2022,12:00:00,Available
34,Cardiology,05-23-2022,13:00:00,Available
35,Cardiology,05-24-2022,14:00:00,Available
36,Cardiology,05-25-2022,15:00:00,Available
37,Cardiology,05-26-2022,16:00:00,Available
38,Cardiology,05-27-2022,17:00:00,Available
39,Cardiology,05-28-2022,18:00:00,Available
40,Cardiology,05-29-2022,19:00:00,Available
41,Therapy,05-20-2022,10:00:00,Available
42,Therapy,05-21-2022,11:00:00,Available
43,Therapy,05-22-2022,12:00:00,Available
44,Therapy,05-23-2022,13:00:00,Available
45,Therapy,05-24-2022,14:00:00,Available
46,Therapy,05-25-2022,15:00:00,Available
47,Therapy,05-26-2022,16:00:00,Available
48,Therapy,05-27-2022,17:00:00,Available
49,Therapy,05-28-2022,18:00:00,Available
50,Therapy,05-29-2022,19:00:00,Available
51,Dentistry,05-20-2022,10:00:00,Available
52,Dentistry,05-21-2022,11:00:00,Available
53,Dentistry,05-22-2022,12:00:00,Available
54,Dentistry,05-23-2022,13:00:00,Available
55,Dentistry,05-24-2022,14:00:00,Available
56,Dentistry,05-25-2022,15:00:00,Available
57,Dentistry,05-26-2022,16:00:00,Available
58,Dentistry,05-27-2022,17:00:00,Available
59,Dentistry,05-28-2022,18:00:00,Available
60,Dentistry,05-29-2022,19:00:00,Available
61,Ophthalmology,05-20-2022,10:00:00,Available
62,Ophthalmology,05-21-2022,11:00:00,Available
63,Ophthalmology,05-22-2022,12:00:00,Available
64,Ophthalmology,05-23-2022,13:00:00,Available
65,Ophthalmology,05-24-2022,14:00:00,Available
66,Ophthalmology,05-25-2022,15:00:00,Available
67,Ophthalmology,05-26-2022,16:00:00,Available
68,Ophthalmology,05-27-2022,17:00:00,Available
69,Ophthalmology,05-28-2022,18:00:00,Available
70,Ophthalmology,05-29-2022,19:00:00,Available
71,pulmonology,05-20-2022,10:00:00,Available
72,pulmonology,05-21-2022,11:00:00,Available
73,pulmonology,05-22-2022,12:00:00,Available
74,pulmonology,05-23-2022,13:00:00,Available
75,pulmonology,05-24-2022,14:00:00,Available
76,pulmonology,05-25-2022,15:00:00,Available
77,pulmonology,05-26-2022,16:00:00,Available
78,pulmonology,05-27-2022,17:00:00,Available
79,pulmonology,05-28-2022,18:00:00,Available
80,pulmonology,05-29-2022,19:00:00,Available
81,Otolaryngology,05-20-2022,10:00:00,Available
82,Otolaryngology,05-21-2022,11:00:00,Available
83,Otolaryngology,05-22-2022,12:00:00,Available
84,Otolaryngology,05-23-2022,13:00:00,Available
85,Otolaryngology,05-24-2022,14:00:00,Available
86,Otolaryngology,05-25-2022,15:00:00,Available
87,Otolaryngology,05-26-2022,16:00:00,Available
88,Otolaryngology,05-27-2022,17:00:00,Available
89,Otolaryngology,05-28-2022,18:00:00,Available
90,Otolaryngology,05-29-2022,19:00:00,Available
